"","state","pollster","n","population","mode","start.date","end.date","biden","trump","undecided","other","begin","end","t","two_party_sum","polltype","n_respondents","n_biden","p_biden","n_trump","p_trump"
"135","--","Quinnipiac University",1332,"Registered Voters","Live phone component","2020-06-11","2020-06-15",49,41,0,NA,2020-06-11,2020-06-15,2020-06-13,90,"Registered Voters",1332,653,0.544444444444444,546,0.455555555555556
"136","KY","Civiqs",898,"Registered Voters","Other","2020-06-13","2020-06-15",37,57,0,NA,2020-06-13,2020-06-15,2020-06-14,94,"Registered Voters",898,332,0.393617021276596,512,0.606382978723404
"137","--","Ipsos",4763,"Registered Voters","Other","2020-05-18","2020-05-24",46,39,0,NA,2020-05-18,2020-05-24,2020-05-21,85,"Registered Voters",4763,2191,0.541176470588235,1858,0.458823529411765
"138","--","Ipsos",3768,"Likely Voters","Other","2020-06-10","2020-06-16",48,35,0,NA,2020-06-10,2020-06-16,2020-06-13,83,"Likely Voters",3768,1809,0.578313253012048,1319,0.421686746987952
"139","AZ","Change Research",400,"Likely Voters","Other","2020-06-12","2020-06-14",45,44,0,NA,2020-06-12,2020-06-14,2020-06-13,89,"Likely Voters",400,180,0.50561797752809,176,0.49438202247191
"140","NC","Change Research",400,"Likely Voters","Other","2020-06-12","2020-06-14",47,45,0,NA,2020-06-12,2020-06-14,2020-06-13,92,"Likely Voters",400,188,0.510869565217391,180,0.489130434782609
"141","MI","Change Research",400,"Likely Voters","Other","2020-06-12","2020-06-14",47,45,0,NA,2020-06-12,2020-06-14,2020-06-13,92,"Likely Voters",400,188,0.510869565217391,180,0.489130434782609
"142","WI","Change Research",400,"Likely Voters","Other","2020-06-12","2020-06-14",48,44,0,NA,2020-06-12,2020-06-14,2020-06-13,92,"Likely Voters",400,192,0.521739130434783,176,0.478260869565217
"143","PA","Change Research",400,"Likely Voters","Other","2020-06-12","2020-06-14",49,46,0,NA,2020-06-12,2020-06-14,2020-06-13,95,"Likely Voters",400,196,0.515789473684211,184,0.484210526315789
"144","FL","Change Research",400,"Likely Voters","Other","2020-06-12","2020-06-14",50,43,0,NA,2020-06-12,2020-06-14,2020-06-13,93,"Likely Voters",400,200,0.537634408602151,172,0.462365591397849
"145","--","Change Research",1250,"Likely Voters","Other","2020-06-12","2020-06-14",51,41,0,NA,2020-06-12,2020-06-14,2020-06-13,92,"Likely Voters",1250,638,0.554347826086957,512,0.445652173913043
"146","--","YouGov",1158,"Registered Voters","Other","2020-06-14","2020-06-16",50,41,4,3,2020-06-14,2020-06-16,2020-06-15,91,"Registered Voters",1158,579,0.549450549450549,475,0.450549450549451
"147","MS","Millsaps College",568,"Likely Voters","Live phone component","2020-06-02","2020-06-04",41,50,3,6,2020-06-02,2020-06-04,2020-06-03,91,"Likely Voters",568,233,0.450549450549451,284,0.549450549450549
"148","AZ","Civiqs",1368,"Registered Voters","Other","2020-06-13","2020-06-15",49,45,0,NA,2020-06-13,2020-06-15,2020-06-14,94,"Registered Voters",1368,670,0.521276595744681,616,0.478723404255319
"149","GA","Public Policy Polling",661,"Registered Voters","Other","2020-06-12","2020-06-13",48,46,0,NA,2020-06-12,2020-06-13,2020-06-12,94,"Registered Voters",661,317,0.51063829787234,304,0.48936170212766
"150","NM","Public Policy Polling",740,"Registered Voters","Other","2020-06-12","2020-06-13",53,39,0,NA,2020-06-12,2020-06-13,2020-06-12,92,"Registered Voters",740,392,0.576086956521739,289,0.423913043478261
"151","MI","TIPP",859,"Likely Voters","Other","2020-06-09","2020-06-12",51,38,0,NA,2020-06-09,2020-06-12,2020-06-10,89,"Likely Voters",859,438,0.573033707865168,326,0.426966292134831
"152","MI","TIPP",907,"Registered Voters","Other","2020-06-09","2020-06-12",50,37,0,NA,2020-06-09,2020-06-12,2020-06-10,87,"Registered Voters",907,454,0.574712643678161,336,0.425287356321839
"153","FL","TIPP",875,"Likely Voters","Other","2020-06-09","2020-06-11",51,40,0,NA,2020-06-09,2020-06-11,2020-06-10,91,"Likely Voters",875,446,0.56043956043956,350,0.43956043956044
"154","FL","TIPP",910,"Registered Voters","Other","2020-06-09","2020-06-11",50,40,0,NA,2020-06-09,2020-06-11,2020-06-10,90,"Registered Voters",910,455,0.555555555555556,364,0.444444444444444
"155","--","NORC",3504,"Adults","Live phone component","2020-05-21","2020-06-05",40,32,0,NA,2020-05-21,2020-06-05,2020-05-28,72,"Adults",3504,1402,0.555555555555556,1121,0.444444444444444
"156","MI","EPIC",600,"Likely Voters","Live phone component","2020-05-31","2020-06-04",55,39,0,NA,2020-05-31,2020-06-04,2020-06-02,94,"Likely Voters",600,330,0.585106382978723,234,0.414893617021277
"157","IA","Selzer",674,"Likely Voters","Live phone component","2020-06-07","2020-06-10",43,44,0,NA,2020-06-07,2020-06-10,2020-06-08,87,"Likely Voters",674,290,0.494252873563218,297,0.505747126436782
"158","--","Morning Consult",32138,"Registered Voters","Other","2020-06-06","2020-06-14",48,39,0,NA,2020-06-06,2020-06-14,2020-06-10,87,"Registered Voters",32138,15426,0.551724137931034,12534,0.448275862068966
"159","--","Optimus",742,"Likely Voters","Other","2020-06-06","2020-06-13",52,43,0,NA,2020-06-06,2020-06-13,2020-06-09,95,"Likely Voters",742,386,0.547368421052632,319,0.452631578947368
"160","--","Optimus",849,"Adults","Other","2020-06-06","2020-06-13",43,34,0,NA,2020-06-06,2020-06-13,2020-06-09,77,"Adults",849,365,0.558441558441558,289,0.441558441558442
"161","--","RMG Research",1200,"Registered Voters","Other","2020-06-11","2020-06-13",48,36,0,NA,2020-06-11,2020-06-13,2020-06-12,84,"Registered Voters",1200,576,0.571428571428571,432,0.428571428571429
"162","--","Abacus Data",1004,"Likely Voters","Other","2020-06-11","2020-06-13",51,41,0,NA,2020-06-11,2020-06-13,2020-06-12,92,"Likely Voters",1004,512,0.554347826086957,412,0.445652173913043
"163","--","Abacus Data",1224,"Registered Voters","Other","2020-06-11","2020-06-13",49,35,0,NA,2020-06-11,2020-06-13,2020-06-12,84,"Registered Voters",1224,600,0.583333333333333,428,0.416666666666667
"164","MO","Remington Research Group",1152,"Likely Voters","Other","2020-06-10","2020-06-11",43,51,0,NA,2020-06-10,2020-06-11,2020-06-10,94,"Likely Voters",1152,495,0.457446808510638,588,0.542553191489362
"165","--","Redfield",1500,"Likely Voters","Other","2020-06-08","2020-06-09",50,37,10,2,2020-06-08,2020-06-09,2020-06-08,87,"Likely Voters",1500,750,0.574712643678161,555,0.425287356321839
"166","--","Optimus",762,"Likely Voters","Other","2020-06-02","2020-06-09",53,42,0,NA,2020-06-02,2020-06-09,2020-06-05,95,"Likely Voters",762,404,0.557894736842105,320,0.442105263157895
"167","--","Optimus",855,"Adults","Other","2020-06-02","2020-06-09",43,32,0,NA,2020-06-02,2020-06-09,2020-06-05,75,"Adults",855,368,0.573333333333333,274,0.426666666666667
"168","FL","Cygnal",881,"Likely Voters","Other","2020-05-18","2020-05-30",47,44,0,NA,2020-05-18,2020-05-30,2020-05-24,91,"Likely Voters",881,414,0.516483516483517,388,0.483516483516484
"169","GA","TargetSmart",321,"Registered Voters","Live phone component","2020-05-21","2020-05-27",40,44,0,NA,2020-05-21,2020-05-27,2020-05-24,84,"Registered Voters",321,128,0.476190476190476,141,0.523809523809524
"170","--","YouGov",1288,"Registered Voters","Other","2020-06-09","2020-06-10",49,40,6,4,2020-06-09,2020-06-10,2020-06-09,89,"Registered Voters",1288,631,0.550561797752809,515,0.449438202247191
"171","--","YouGov",1241,"Registered Voters","Other","2020-06-07","2020-06-09",49,41,5,3,2020-06-07,2020-06-09,2020-06-08,90,"Registered Voters",1241,608,0.544444444444444,509,0.455555555555556
"172","--","Ipsos",931,"Registered Voters","Other","2020-06-08","2020-06-09",46,38,0,NA,2020-06-08,2020-06-09,2020-06-08,84,"Registered Voters",931,428,0.547619047619048,354,0.452380952380952
"173","--","MSR Group",855,"Registered Voters","Other","2020-06-07","2020-06-07",46,39,0,NA,2020-06-07,2020-06-07,2020-06-07,85,"Registered Voters",855,393,0.541176470588235,333,0.458823529411765
"174","MI","Kiaer Research",543,"Likely Voters","Other","2020-05-31","2020-06-07",50,35,0,NA,2020-05-31,2020-06-07,2020-06-03,85,"Likely Voters",543,272,0.588235294117647,190,0.411764705882353
"175","--","Data for Progress",688,"Registered Voters","Other","2020-06-02","2020-06-02",54,40,0,NA,2020-06-02,2020-06-02,2020-06-02,94,"Registered Voters",688,372,0.574468085106383,275,0.425531914893617
"176","--","Data for Progress",797,"Adults","Other","2020-06-02","2020-06-02",52,42,0,NA,2020-06-02,2020-06-02,2020-06-02,94,"Adults",797,414,0.553191489361702,335,0.446808510638298
"177","--","Data for Progress",688,"Registered Voters","Other","2020-05-26","2020-05-26",50,46,0,NA,2020-05-26,2020-05-26,2020-05-26,96,"Registered Voters",688,344,0.520833333333333,316,0.479166666666667
"178","--","Data for Progress",778,"Adults","Other","2020-05-26","2020-05-26",51,43,0,NA,2020-05-26,2020-05-26,2020-05-26,94,"Adults",778,397,0.542553191489362,335,0.457446808510638
"179","IA","Civiqs",865,"Registered Voters","Other","2020-06-06","2020-06-08",46,46,3,3,2020-06-06,2020-06-08,2020-06-07,92,"Registered Voters",865,398,0.5,398,0.5
"180","KY","RMG Research",500,"Registered Voters","Other","2020-05-21","2020-05-24",36,53,0,NA,2020-05-21,2020-05-24,2020-05-22,89,"Registered Voters",500,180,0.404494382022472,265,0.595505617977528
"181","TN","SSRS",1000,"Registered Voters","Live phone component","2020-05-02","2020-05-22",42,51,0,NA,2020-05-02,2020-05-22,2020-05-12,93,"Registered Voters",1000,420,0.451612903225806,510,0.548387096774194
"182","--","Morning Consult",32380,"Registered Voters","Other","2020-06-01","2020-06-07",47,39,0,NA,2020-06-01,2020-06-07,2020-06-04,86,"Registered Voters",32380,15219,0.546511627906977,12628,0.453488372093023
"183","--","Optimus",787,"Likely Voters","Other","2020-05-30","2020-06-06",53,42,0,NA,2020-05-30,2020-06-06,2020-06-02,95,"Likely Voters",787,417,0.557894736842105,331,0.442105263157895
"184","OK","Amber Integrated",500,"Likely Voters","Live phone component","2020-06-03","2020-06-04",36,55,0,NA,2020-06-03,2020-06-04,2020-06-03,91,"Likely Voters",500,180,0.395604395604396,275,0.604395604395604
"185","--","HarrisX",2827,"Registered Voters","Other","2020-06-01","2020-06-04",47,37,0,NA,2020-06-01,2020-06-04,2020-06-02,84,"Registered Voters",2827,1329,0.55952380952381,1046,0.44047619047619
"186","--","Morning Consult",31983,"Registered Voters","Other","2020-05-25","2020-05-31",46,41,0,NA,2020-05-25,2020-05-31,2020-05-28,87,"Registered Voters",31983,14712,0.528735632183908,13113,0.471264367816092
"187","--","RMG Research",1200,"Registered Voters","Other","2020-06-04","2020-06-06",47,37,0,NA,2020-06-04,2020-06-06,2020-06-05,84,"Registered Voters",1200,564,0.55952380952381,444,0.44047619047619
"188","--","Garin",1223,"Likely Voters","Other","2020-06-03","2020-06-06",53,41,0,NA,2020-06-03,2020-06-06,2020-06-04,94,"Likely Voters",1223,648,0.563829787234043,501,0.436170212765957
"189","--","SSRS",1259,"Registered Voters","Live phone component","2020-06-02","2020-06-05",55,41,2,1,2020-06-02,2020-06-05,2020-06-03,96,"Registered Voters",1259,692,0.572916666666667,516,0.427083333333333
"190","MI","EPIC",600,"Likely Voters","Live phone component","2020-05-30","2020-06-03",53,41,5,NA,2020-05-30,2020-06-03,2020-06-01,94,"Likely Voters",600,318,0.563829787234043,246,0.436170212765957
"191","--","NBC News",1000,"Registered Voters","Live phone component","2020-05-28","2020-06-02",49,42,3,5,2020-05-28,2020-06-02,2020-05-30,91,"Registered Voters",1000,490,0.538461538461538,420,0.461538461538462
"192","TX","Public Policy Polling",682,"Registered Voters","Other","2020-06-03","2020-06-04",48,48,4,NA,2020-06-03,2020-06-04,2020-06-03,96,"Registered Voters",682,327,0.5,327,0.5
"193","IA","Public Policy Polling",963,"Registered Voters","Other","2020-06-03","2020-06-04",47,48,5,NA,2020-06-03,2020-06-04,2020-06-03,95,"Registered Voters",963,453,0.494736842105263,462,0.505263157894737
"194","--","Whitman Insight Strategies",500,"Registered Voters","Other","2020-06-02","2020-06-04",53,43,2,1,2020-06-02,2020-06-04,2020-06-03,96,"Registered Voters",500,265,0.552083333333333,215,0.447916666666667
"195","--","Marist College",958,"Registered Voters","Live phone component","2020-06-02","2020-06-03",50,43,0,NA,2020-06-02,2020-06-03,2020-06-02,93,"Registered Voters",958,479,0.537634408602151,412,0.462365591397849
"196","NC","Public Policy Polling",949,"Registered Voters","Other","2020-06-02","2020-06-03",49,45,0,NA,2020-06-02,2020-06-03,2020-06-02,94,"Registered Voters",949,465,0.521276595744681,427,0.478723404255319
"197","--","Civiqs",1327,"Adults","Other","2020-06-01","2020-06-03",47,44,3,7,2020-06-01,2020-06-03,2020-06-02,91,"Adults",1327,624,0.516483516483517,584,0.483516483516484
"198","--","IBD",964,"Registered Voters","Other","2020-05-31","2020-06-03",45,42,0,NA,2020-05-31,2020-06-03,2020-06-01,87,"Registered Voters",964,434,0.517241379310345,405,0.482758620689655
"199","--","Optimus",795,"Likely Voters","Other","2020-05-26","2020-06-02",51,44,0,NA,2020-05-26,2020-06-02,2020-05-29,95,"Likely Voters",795,405,0.536842105263158,350,0.463157894736842
"200","CA","Public Policy Institute of California",1048,"Likely Voters","Live phone component","2020-05-17","2020-05-26",57,33,0,NA,2020-05-17,2020-05-26,2020-05-21,90,"Likely Voters",1048,597,0.633333333333333,346,0.366666666666667
"201","WI","FOX",801,"Registered Voters","Live phone component","2020-05-30","2020-06-02",49,40,0,NA,2020-05-30,2020-06-02,2020-05-31,89,"Registered Voters",801,392,0.550561797752809,320,0.449438202247191
"202","OH","FOX",803,"Registered Voters","Live phone component","2020-05-30","2020-06-02",45,43,0,NA,2020-05-30,2020-06-02,2020-05-31,88,"Registered Voters",803,361,0.511363636363636,345,0.488636363636364
"203","AZ","FOX",1002,"Registered Voters","Live phone component","2020-05-30","2020-06-02",46,42,0,NA,2020-05-30,2020-06-02,2020-05-31,88,"Registered Voters",1002,461,0.522727272727273,421,0.477272727272727
"204","--","YouGov",1244,"Registered Voters","Other","2020-05-31","2020-06-02",47,40,5,5,2020-05-31,2020-06-02,2020-06-01,87,"Registered Voters",1244,585,0.540229885057471,498,0.459770114942529
"205","TX","Quinnipiac University",1166,"Registered Voters","Live phone component","2020-05-29","2020-06-01",43,44,0,NA,2020-05-29,2020-06-01,2020-05-30,87,"Registered Voters",1166,501,0.494252873563218,513,0.505747126436782
"206","--","Monmouth University",742,"Registered Voters","Live phone component","2020-05-28","2020-06-01",52,41,0,NA,2020-05-28,2020-06-01,2020-05-30,93,"Registered Voters",742,386,0.559139784946237,304,0.440860215053763
"207","WI","Change Research",328,"Likely Voters","Other","2020-05-29","2020-05-31",45,45,0,NA,2020-05-29,2020-05-31,2020-05-30,90,"Likely Voters",328,148,0.5,148,0.5
"208","PA","Change Research",579,"Likely Voters","Other","2020-05-29","2020-05-31",46,50,0,NA,2020-05-29,2020-05-31,2020-05-30,96,"Likely Voters",579,266,0.479166666666667,290,0.520833333333333
"209","NC","Change Research",806,"Likely Voters","Other","2020-05-29","2020-05-31",46,45,0,NA,2020-05-29,2020-05-31,2020-05-30,91,"Likely Voters",806,371,0.505494505494505,363,0.494505494505495
"210","MI","Change Research",620,"Likely Voters","Other","2020-05-29","2020-05-31",48,46,0,NA,2020-05-29,2020-05-31,2020-05-30,94,"Likely Voters",620,298,0.51063829787234,285,0.48936170212766
"211","FL","Change Research",1186,"Likely Voters","Other","2020-05-29","2020-05-31",48,45,0,NA,2020-05-29,2020-05-31,2020-05-30,93,"Likely Voters",1186,569,0.516129032258065,534,0.483870967741935
"212","AZ","Change Research",329,"Likely Voters","Other","2020-05-29","2020-05-31",44,45,0,NA,2020-05-29,2020-05-31,2020-05-30,89,"Likely Voters",329,145,0.49438202247191,148,0.50561797752809
"213","--","Change Research",1457,"Likely Voters","Other","2020-05-29","2020-05-31",48,41,0,NA,2020-05-29,2020-05-31,2020-05-30,89,"Likely Voters",1457,699,0.539325842696629,597,0.460674157303371
"214","NC","Harper Polling",500,"Likely Voters","Other","2020-05-26","2020-05-28",44,47,0,NA,2020-05-26,2020-05-28,2020-05-27,91,"Likely Voters",500,220,0.483516483516484,235,0.516483516483517
"215","--","Reuters",964,"Registered Voters","Other","2020-06-01","2020-06-02",47,37,0,NA,2020-06-01,2020-06-02,2020-06-01,84,"Registered Voters",964,453,0.55952380952381,357,0.44047619047619
"216","KS","Civiqs",699,"Registered Voters","Other","2020-05-30","2020-06-01",40,52,2,6,2020-05-30,2020-06-01,2020-05-31,92,"Registered Voters",699,280,0.434782608695652,363,0.565217391304348
"217","--","YouGov",1486,"Likely Voters","Other","2020-05-29","2020-06-01",47,43,5,4,2020-05-29,2020-06-01,2020-05-30,90,"Likely Voters",1486,698,0.522222222222222,639,0.477777777777778
"218","--","RMG Research",1200,"Registered Voters","Other","2020-05-28","2020-05-30",46,39,0,NA,2020-05-28,2020-05-30,2020-05-29,85,"Registered Voters",1200,552,0.541176470588235,468,0.458823529411765
"219","MI","Public Policy Polling",1582,"Registered Voters","Other","2020-05-29","2020-05-30",50,44,0,NA,2020-05-29,2020-05-30,2020-05-29,94,"Registered Voters",1582,791,0.531914893617021,696,0.468085106382979
"220","--","Optimus",789,"Likely Voters","Other","2020-05-23","2020-05-30",50,45,0,NA,2020-05-23,2020-05-30,2020-05-26,95,"Likely Voters",789,394,0.526315789473684,355,0.473684210526316
"221","--","Morning Consult",1624,"Registered Voters","Other","2020-05-31","2020-06-01",51,39,10,NA,2020-05-31,2020-06-01,2020-05-31,90,"Registered Voters",1624,828,0.566666666666667,633,0.433333333333333
"222","--","Morning Consult",1991,"Registered Voters","Other","2020-05-02","2020-05-03",45,41,11,NA,2020-05-02,2020-05-03,2020-05-02,86,"Registered Voters",1991,896,0.523255813953488,816,0.476744186046512
"223","--","TargetSmart",1200,"Registered Voters","Live phone component","2020-05-21","2020-05-27",43,40,8,6,2020-05-21,2020-05-27,2020-05-24,83,"Registered Voters",1200,516,0.518072289156627,480,0.481927710843373
"224","--","YouGov",861,"Registered Voters","Other","2020-05-29","2020-05-30",48,40,0,NA,2020-05-29,2020-05-30,2020-05-29,88,"Registered Voters",861,413,0.545454545454545,344,0.454545454545455
"225","--","ABC",700,"Likely Voters","Live phone component","2020-05-25","2020-05-28",51,46,0,NA,2020-05-25,2020-05-28,2020-05-26,97,"Likely Voters",700,357,0.525773195876289,322,0.474226804123711
"226","--","ABC",835,"Registered Voters","Live phone component","2020-05-25","2020-05-28",53,43,0,NA,2020-05-25,2020-05-28,2020-05-26,96,"Registered Voters",835,443,0.552083333333333,359,0.447916666666667
"227","MO","We Ask America",500,"Likely Voters","Live phone component","2020-05-26","2020-05-27",44,48,0,NA,2020-05-26,2020-05-27,2020-05-26,92,"Likely Voters",500,220,0.478260869565217,240,0.521739130434783
"228","FL","St Pete Polls",4763,"Registered Voters","Other","2020-05-26","2020-05-27",48,47,3,3,2020-05-26,2020-05-27,2020-05-26,95,"Registered Voters",4763,2286,0.505263157894737,2239,0.494736842105263
"229","--","Optimus",793,"Likely Voters","Other","2020-05-19","2020-05-26",52,44,0,NA,2020-05-19,2020-05-26,2020-05-22,96,"Likely Voters",793,412,0.541666666666667,349,0.458333333333333
"230","--","Ipsos",3732,"Registered Voters","Other","2020-05-20","2020-05-27",45,39,7,7,2020-05-20,2020-05-27,2020-05-23,84,"Registered Voters",3732,1679,0.535714285714286,1455,0.464285714285714
"231","--","YouGov",1157,"Registered Voters","Other","2020-05-23","2020-05-26",45,42,6,5,2020-05-23,2020-05-26,2020-05-24,87,"Registered Voters",1157,521,0.517241379310345,486,0.482758620689655
"232","SC","Civiqs",591,"Registered Voters","Other","2020-05-23","2020-05-26",42,52,1,5,2020-05-23,2020-05-26,2020-05-24,94,"Registered Voters",591,248,0.446808510638298,307,0.553191489361702
"233","--","Morning Consult",30317,"Registered Voters","Other","2020-05-18","2020-05-24",46,41,0,NA,2020-05-18,2020-05-24,2020-05-21,87,"Registered Voters",30317,13946,0.528735632183908,12430,0.471264367816092
"234","--","Optimus",766,"Likely Voters","Other","2020-05-16","2020-05-23",54,43,0,NA,2020-05-16,2020-05-23,2020-05-19,97,"Likely Voters",766,414,0.556701030927835,329,0.443298969072165
"235","AZ","HighGround Inc",400,"Likely Voters","Live phone component","2020-05-18","2020-05-22",47,45,4,5,2020-05-18,2020-05-22,2020-05-20,92,"Likely Voters",400,188,0.510869565217391,180,0.489130434782609
"236","NC","Meeting Street Insights",500,"Registered Voters","Live phone component","2020-05-09","2020-05-13",47,47,6,NA,2020-05-09,2020-05-13,2020-05-11,94,"Registered Voters",500,235,0.5,235,0.5
"237","MD","Gonzales Research",810,"Likely Voters","Live phone component","2020-05-19","2020-05-23",59,35,6,NA,2020-05-19,2020-05-23,2020-05-21,94,"Likely Voters",810,478,0.627659574468085,284,0.372340425531915
"238","UT","Y2 Analytics",1078,"Likely Voters","Other","2020-05-09","2020-05-15",41,44,5,8,2020-05-09,2020-05-15,2020-05-12,85,"Likely Voters",1078,442,0.482352941176471,474,0.517647058823529
"239","MN","Mason",800,"Registered Voters","Live phone component","2020-05-18","2020-05-20",49,44,7,NA,2020-05-18,2020-05-20,2020-05-19,93,"Registered Voters",800,392,0.526881720430108,352,0.473118279569892
"240","--","YouGov",1218,"Registered Voters","Other","2020-05-20","2020-05-21",46,42,6,4,2020-05-20,2020-05-21,2020-05-20,88,"Registered Voters",1218,560,0.522727272727273,512,0.477272727272727
"241","WA","Public Policy Polling",1070,"Likely Voters","Other","2020-05-19","2020-05-20",59,37,0,NA,2020-05-19,2020-05-20,2020-05-19,96,"Likely Voters",1070,631,0.614583333333333,396,0.385416666666667
"242","--","Optimus",774,"Likely Voters","Other","2020-05-12","2020-04-19",52,42,0,NA,2020-05-12,2020-04-19,2020-04-30,94,"Likely Voters",774,402,0.553191489361702,325,0.446808510638298
"243","--","Kaiser Family Foundation",970,"Registered Voters","Live phone component","2020-05-13","2020-05-18",43,41,0,NA,2020-05-13,2020-05-18,2020-05-15,84,"Registered Voters",970,417,0.511904761904762,398,0.488095238095238
"244","--","FOX",1207,"Registered Voters","Live phone component","2020-05-17","2020-05-20",48,40,5,4,2020-05-17,2020-05-20,2020-05-18,88,"Registered Voters",1207,579,0.545454545454545,483,0.454545454545455
"245","--","Data for Progress",810,"Registered Voters","Other","2020-05-19","2020-05-19",51,42,0,NA,2020-05-19,2020-05-19,2020-05-19,93,"Registered Voters",810,413,0.548387096774194,340,0.451612903225806
"246","MI","Public Policy Polling",1234,"Registered Voters","Other","2020-05-18","2020-05-19",51,45,0,NA,2020-05-18,2020-05-19,2020-05-18,96,"Registered Voters",1234,629,0.53125,555,0.46875
"247","WA","SurveyUSA",530,"Likely Voters","Other","2020-05-16","2020-05-19",57,31,0,NA,2020-05-16,2020-05-19,2020-05-17,88,"Likely Voters",530,302,0.647727272727273,164,0.352272727272727
"248","MI","Change Research",3070,"Likely Voters","Other","2020-05-16","2020-05-19",47,44,0,4,2020-05-16,2020-05-19,2020-05-17,91,"Likely Voters",3070,1443,0.516483516483517,1351,0.483516483516484
"249","WI","Redfield",875,"Likely Voters","Other","2020-05-10","2020-05-14",48,38,0,NA,2020-05-10,2020-05-14,2020-05-12,86,"Likely Voters",875,420,0.558139534883721,332,0.441860465116279
"250","MI","Redfield",970,"Likely Voters","Other","2020-05-10","2020-05-14",47,39,0,NA,2020-05-10,2020-05-14,2020-05-12,86,"Likely Voters",970,456,0.546511627906977,378,0.453488372093023
"251","PA","Redfield",963,"Likely Voters","Other","2020-05-10","2020-05-14",48,39,0,NA,2020-05-10,2020-05-14,2020-05-12,87,"Likely Voters",963,462,0.551724137931034,376,0.448275862068966
"252","FL","Redfield",1014,"Likely Voters","Other","2020-05-10","2020-05-14",45,43,0,NA,2020-05-10,2020-05-14,2020-05-12,88,"Likely Voters",1014,456,0.511363636363636,436,0.488636363636364
"253","NC","Redfield",859,"Likely Voters","Other","2020-05-10","2020-05-14",45,43,0,NA,2020-05-10,2020-05-14,2020-05-12,88,"Likely Voters",859,387,0.511363636363636,369,0.488636363636364
"254","AZ","Redfield",946,"Likely Voters","Other","2020-05-10","2020-05-14",45,41,0,NA,2020-05-10,2020-05-14,2020-05-12,86,"Likely Voters",946,426,0.523255813953488,388,0.476744186046512
"255","PA","Hodas",600,"Likely Voters","Live phone component","2020-05-09","2020-05-13",46,50,4,NA,2020-05-09,2020-05-13,2020-05-11,96,"Likely Voters",600,276,0.479166666666667,300,0.520833333333333
"256","--","Data for Progress",684,"Registered Voters","Other","2020-05-12","2020-05-12",48,41,0,NA,2020-05-12,2020-05-12,2020-05-12,89,"Registered Voters",684,328,0.539325842696629,280,0.460674157303371
"257","WI","Hodas",600,"Likely Voters","Live phone component","2020-05-06","2020-05-08",51,42,0,NA,2020-05-06,2020-05-08,2020-05-07,93,"Likely Voters",600,306,0.548387096774194,252,0.451612903225806
"258","MI","Hodas",600,"Likely Voters","Live phone component","2020-05-01","2020-05-05",50,42,0,NA,2020-05-01,2020-05-05,2020-05-03,92,"Likely Voters",600,300,0.543478260869565,252,0.456521739130435
"259","--","Ipsos",957,"Registered Voters","Other","2020-05-18","2020-05-19",47,38,7,5,2020-05-18,2020-05-19,2020-05-18,85,"Registered Voters",957,450,0.552941176470588,364,0.447058823529412
"260","--","Quinnipiac University",1323,"Registered Voters","Live phone component","2020-05-14","2020-05-18",50,39,7,2,2020-05-14,2020-05-18,2020-05-16,89,"Registered Voters",1323,662,0.561797752808989,516,0.438202247191011
"261","KY","Public Policy Polling",1104,"Registered Voters","Other","2020-05-14","2020-05-15",39,55,2,5,2020-05-14,2020-05-15,2020-05-14,94,"Registered Voters",1104,431,0.414893617021277,607,0.585106382978723
"262","--","Rasmussen Reports",1000,"Likely Voters","Other","2020-05-18","2020-05-19",48,43,8,NA,2020-05-18,2020-05-19,2020-05-18,91,"Likely Voters",1000,480,0.527472527472527,430,0.472527472527473
"263","--","YouGov",1235,"Registered Voters","Other","2020-05-17","2020-05-19",47,42,5,4,2020-05-17,2020-05-19,2020-05-18,89,"Registered Voters",1235,580,0.528089887640449,519,0.471910112359551
"264","--","Change Research",1424,"Likely Voters","Other","2020-05-15","2020-05-17",48,45,0,NA,2020-05-15,2020-05-17,2020-05-16,93,"Likely Voters",1424,684,0.516129032258065,641,0.483870967741935
"265","--","Morning Consult",28159,"Registered Voters","Other","2020-05-11","2020-05-17",46,41,0,NA,2020-05-11,2020-05-17,2020-05-14,87,"Registered Voters",28159,12953,0.528735632183908,11545,0.471264367816092
"266","GA","Civiqs",1339,"Registered Voters","Other","2020-05-16","2020-05-18",48,47,2,3,2020-05-16,2020-05-18,2020-05-17,95,"Registered Voters",1339,643,0.505263157894737,629,0.494736842105263
"267","FL","Point Blank Political",2149,"Likely Voters","Other","2020-05-14","2020-05-17",45,44,8,3,2020-05-14,2020-05-17,2020-05-15,89,"Likely Voters",2149,967,0.50561797752809,946,0.49438202247191
"268","VA","Roanoke College",563,"Likely Voters","Live phone component","2020-05-03","2020-05-16",51,39,0,NA,2020-05-03,2020-05-16,2020-05-09,90,"Likely Voters",563,287,0.566666666666667,220,0.433333333333333
"269","AZ","OH Predictive Insights",600,"Likely Voters","Live phone component","2020-05-09","2020-05-11",50,43,6,NA,2020-05-09,2020-05-11,2020-05-10,93,"Likely Voters",600,300,0.537634408602151,258,0.462365591397849
"270","TN","East Tennessee State University",536,"Likely Voters","Live phone component","2020-04-22","2020-05-01",36,53,0,NA,2020-04-22,2020-05-01,2020-04-26,89,"Likely Voters",536,193,0.404494382022472,284,0.595505617977528
